stampm,pressure,dew_point,precipitation,humidity,temperature,wind_bearing,wind_speed,illuminance,pressure_tendency
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594951200.0,1015.4,,0.0,78.0,17.0,,8.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594954800.0,1015.3,,0.0,80.0,17.0,,9.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594958400.0,1014.8,,0.0,81.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594962000.0,1014.3,,0.0,82.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594965600.0,1014.4,,0.0,84.0,16.0,,7.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594969200.0,1014.8,,0.0,85.0,16.0,,6.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
1594972800.0,1014.9,,0.0,83.0,16.0,,7.0,,
